Gender,Annual.Salary,Department,Department.Name,Assignment,Position.Title,Date.Hired
M,98612.2,FRS,Fire and Rescue Services,Fulltime,Emergency Vehicle Maintenance Crew Chief,10/13/1981
F,67919.7519,CAT,County Attorney's Office,Fulltime,Office Services Coordinator,02/08/1999
F,42146.0858,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,08/06/2007
F,82647.8868,HHS,Department of Health and Human Services,Fulltime,Program Specialist II,09/10/2012
F,63321.6816,HHS,Department of Health and Human Services,Fulltime,Social Worker II,01/11/2016
M,128556.5078,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Captain,09/20/1993
F,49964.801,DOT,Department of Transportation,Fulltime,Bus Operator,04/28/2008
M,54284.47,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/10/2014
M,52487.6295,DOT,Department of Transportation,Fulltime,Bus Operator,06/23/2003
M,72689.34,DLC,Department of Liquor Control,Fulltime,Liquor Store Manager,04/07/2002
M,78893.94,POL,Department of Police,Fulltime,Police Officer III,12/11/2006
F,74139.94,DEP,Department of Environmental Protection,Fulltime,Program Specialist I,03/26/2001
M,45627.3594,DLC,Department of Liquor Control,Fulltime,Liquor Store Clerk II,08/31/2008
M,45718.0515,DOT,Department of Transportation,Fulltime,Bus Operator,02/25/2013
F,97025.8604,HHS,Department of Health and Human Services,Fulltime,Manager III,03/06/2006
M,47317.5252,DLC,Department of Liquor Control,Fulltime,Truck Driver/Warehouse Worker,08/25/2010
M,100039.49,POL,Department of Police,Fulltime,Police Sergeant,06/16/2003
F,24898.1337,HHS,Department of Health and Human Services,Parttime,Client Assistance Specialist,12/19/2011
F,58665.5091,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,08/08/1988
M,163663.08,POL,Department of Police,Fulltime,Manager II,02/01/1993
M,95157.432,DLC,Department of Liquor Control,Fulltime,Liquor Store Manager,06/26/1978
F,54339.48,POL,Department of Police,Fulltime,Police Officer III,01/09/2017
F,112566.18,DPS,Department of Permitting Services,Fulltime,Senior Permitting Services Specialist,11/16/2015
M,54060.0076,DEP,Department of Environmental Protection,Fulltime,Refuse Disposal Cashier,04/29/2007
M,61399.8,POL,Department of Police,Fulltime,Police Officer III,08/12/2013
M,61664.1,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,02/27/2012
M,64023.36,DOT,Department of Transportation,Fulltime,Equipment Operator I,05/06/2002
M,50215.4022,DOT,Department of Transportation,Fulltime,Bus Operator,03/02/2008
M,98137.2645,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,07/10/1989
M,44773.0172,POL,Department of Police,Fulltime,Animal Care Attendant,12/30/2013
F,61120.44,POL,Department of Police,Fulltime,Police Officer III,02/24/2014
M,91869,POL,Department of Police,Fulltime,Police Officer III,01/14/2002
M,79259.75,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,09/04/2001
F,146334.38,CEC,Community Engagement Cluster,Fulltime,Manager I,04/20/2015
M,94133.5758,POL,Department of Police,Fulltime,Police Officer III,02/06/1995
F,100521.2346,OMB,Office of Management and Budget,Fulltime,Fiscal and Policy Analyst III,08/13/2012
F,118816.6121,DPS,Department of Permitting Services,Fulltime,Manager III,08/25/2014
M,309152.82,CEX,Offices of the County Executive,Fulltime,Chief Administrative Officer,11/26/1979
F,77143.3641,HHS,Department of Health and Human Services,Fulltime,Community Services Aide III,08/13/1990
M,68400.7653,DOT,Department of Transportation,Fulltime,Public Service Craftsworker I,12/05/1994
M,58502.07,HHS,Department of Health and Human Services,Fulltime,Principal Administrative Aide,04/02/2001
M,95740,HCA,Department of Housing and Community Affairs,Fulltime,Program Manager I,04/24/2000
F,42576.2073,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,01/22/2007
M,86235.93,REC,Department of Recreation,Fulltime,Recreation Specialist,05/29/1994
M,78893.94,POL,Department of Police,Fulltime,Police Officer III,01/16/2007
F,44172.0378,DOT,Department of Transportation,Fulltime,Bus Operator,05/27/2014
M,57565.1382,CEC,Community Engagement Cluster,Fulltime,Program Specialist II,09/21/2015
F,86579.0688,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,10/19/2015
M,97424.6,POL,Department of Police,Fulltime,Master Police Officer,07/22/2002
F,60478.201,LIB,Department of Public Libraries,Fulltime,Library Technician,06/24/1996
F,59579.5566,LIB,Department of Public Libraries,Fulltime,Librarian I,11/17/2014
M,71467.11,DGS,Department of General Services,Fulltime,Senior Supply Technician,11/06/1989
F,66618.0009,HHS,Department of Health and Human Services,Fulltime,Therapist II,12/17/2012
F,51539.499,POL,Department of Police,Fulltime,Client Assistance Specialist,10/31/2016
F,77143.3641,HHS,Department of Health and Human Services,Fulltime,Community Services Aide III,02/22/1988
M,75105.4356,DOT,Department of Transportation,Fulltime,Senior Supply Technician,08/07/1989
F,93534.3876,HHS,Department of Health and Human Services,Fulltime,Program Manager II,02/08/2016
F,52896.73,SHF,Sheriff's Office,Fulltime,Deputy Sheriff III,06/01/2015
M,132635.8242,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Battalion Chief,02/22/1994
M,125742.9987,POL,Department of Police,Fulltime,Police Lieutenant,09/23/1985
F,73733.13,POL,Department of Police,Fulltime,Program Manager I,02/05/2007
F,69126.9876,HHS,Department of Health and Human Services,Fulltime,Social Worker III,06/04/2012
M,67403,POL,Department of Police,Fulltime,Police Officer III,07/18/2011
M,54516.42,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,07/29/2013
M,92425.4844,SHF,Sheriff's Office,Fulltime,Deputy Sheriff III,02/23/1987
F,64710.9828,HHS,Department of Health and Human Services,Fulltime,Office Services Coordinator,12/04/2000
M,75544.28,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,10/09/2006
F,78672.9468,HHS,Department of Health and Human Services,Fulltime,Therapist II,11/13/2006
M,91795.2034,DEP,Department of Environmental Protection,Fulltime,Permitting and Code Enforcement Inspector III,10/13/2008
F,66498.3214,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,07/02/2012
M,40242.06,DOT,Department of Transportation,Fulltime,Transit Bus Operator,06/27/2016
M,104414.911,HHS,Department of Health and Human Services,Fulltime,Social Worker III,06/03/1992
F,21349.3548,POL,Department of Police,Parttime,Crossing Guard,11/13/2007
M,109255.41,HHS,Department of Health and Human Services,Fulltime,Supervisory Social Worker,02/07/1994
F,104414.911,HHS,Department of Health and Human Services,Fulltime,Therapist II,06/22/1992
M,74800.46,COR,Correction and Rehabilitation,Fulltime,Correctional Supervisor (Sergeant),12/26/2006
F,70959.79,POL,Department of Police,Fulltime,Police Services Assistant,07/31/1978
M,102309.8892,DPS,Department of Permitting Services,Fulltime,Senior Permitting Services Specialist,04/04/2016
F,43971.1392,DOT,Department of Transportation,Fulltime,Bus Operator,03/02/2015
M,83931,DEP,Department of Environmental Protection,Fulltime,Code Enforcement Inspector III,02/20/2001
M,51486.4647,DPS,Department of Permitting Services,Fulltime,Permit Technician III,08/18/1997
M,97626.078,DPS,Department of Permitting Services,Fulltime,Permitting and Code Enforcement Inspector III,05/05/1997
M,105241,PRO,Office of Procurement,Fulltime,Procurement Specialist IV,11/29/1999
F,96581.8459,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,03/05/2007
F,136258,CCL,County Council,Fulltime,Council Member,12/02/2002
M,42830.65,POL,Department of Police,Fulltime,Animal Care Attendant,06/30/2014
F,46794.54,REC,Department of Recreation,Fulltime,Recreation Coordinator,06/25/2013
F,98362.6,HHS,Department of Health and Human Services,Fulltime,Therapist II,07/29/2013
F,78970.134,CCL,County Council,Fulltime,Legislative Senior Aide III,09/24/2012
F,58716.7,LIB,Department of Public Libraries,Fulltime,Library Assistant I,05/03/1999
M,46179.23,DOT,Department of Transportation,Fulltime,Bus Operator,04/16/2012
M,67023.86,DGS,Department of General Services,Fulltime,Mechanic Technician II,02/04/2008
F,53343.5067,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,06/30/2014
F,44467.4835,HHS,Department of Health and Human Services,Fulltime,Community Services Aide III,12/14/2015
M,60076.67,POL,Department of Police,Fulltime,Code Enforcement Inspector III,01/14/2013
M,65057.5542,DOT,Department of Transportation,Fulltime,Bus Operator,11/12/2000
F,41136.3612,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,02/19/2008
M,62768,DOT,Department of Transportation,Fulltime,Equipment Operator I,12/28/1998
F,41942.655,HHS,Department of Health and Human Services,Fulltime,Principal Administrative Aide,12/15/2014
M,42585.6732,DOT,Department of Transportation,Fulltime,Equipment Operator I,01/27/2014
M,40242.06,DOT,Department of Transportation,Fulltime,Bus Operator,03/06/2017
F,37618.5838,HHS,Department of Health and Human Services,Fulltime,Principal Administrative Aide,12/17/2013
F,138790,DOT,Department of Transportation,Fulltime,Manager III,10/11/1988
F,32704.406,LIB,Department of Public Libraries,Parttime,Librarian I,02/04/2008
F,69121.5138,POL,Department of Police,Fulltime,Public Safety Emergency Communications Supervisor,09/20/2004
F,108719.4636,POL,Department of Police,Fulltime,Police Sergeant,01/23/1995
F,69064.38,POL,Department of Police,Fulltime,Police Officer III,07/12/2010
M,63358.0192,DOT,Department of Transportation,Fulltime,Equipment Operator I,01/16/1989
F,39870.39,HHS,Department of Health and Human Services,Parttime,Therapist II,11/27/2006
M,95084.42,POL,Department of Police,Fulltime,Police Officer III,02/28/2000
M,68366.76,POL,Department of Police,Fulltime,Police Officer III,07/18/2011
M,44963.625,DOT,Department of Transportation,Fulltime,Equipment Operator I,12/19/2011
M,76364.1382,DGS,Department of General Services,Fulltime,Program Specialist I,10/16/1995
M,83100,DTS,Department of Technology Services,Fulltime,Communications Equipment Technician II,10/28/2002
M,59079.5832,DOT,Department of Transportation,Fulltime,Equipment Operator III,04/04/2005
M,47317.5252,DOT,Department of Transportation,Fulltime,Bus Operator,08/16/2010
M,62856.4107,DOT,Department of Transportation,Fulltime,Bus Operator,09/30/2001
M,81358.62,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,05/16/2005
F,58072.9282,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,08/10/1992
F,39821.769,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,07/30/2013
M,58157,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),01/27/2014
M,96035.2642,POL,Department of Police,Fulltime,Police Officer III,03/14/1988
F,65171.0192,DEP,Department of Environmental Protection,Fulltime,Planning Specialist III,11/23/2009
M,57899.8728,DOT,Department of Transportation,Fulltime,Bus Operator,08/16/2004
F,59075.8898,DEP,Department of Environmental Protection,Fulltime,Program Specialist I,10/19/2015
M,43108.96,POL,Department of Police,Fulltime,Security Officer I,08/12/2013
F,42840,COR,Correction and Rehabilitation,Fulltime,Principal Administrative Aide,10/16/2017
F,105448.722,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,02/03/1986
M,37776.7368,DOT,Department of Transportation,Fulltime,Public Service Worker III,11/16/2015
F,67560.1998,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,09/18/2006
F,62329.5745,HHS,Department of Health and Human Services,Fulltime,Principal Administrative Aide,02/15/1989
M,62329.5745,DEP,Department of Environmental Protection,Fulltime,Refuse Disposal Cashier,02/16/1993
M,64470.78,POL,Department of Police,Fulltime,Police Officer III,01/28/2013
M,68400.7653,DOT,Department of Transportation,Fulltime,Bus Operator,02/10/1992
M,64750.56,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,09/04/2007
M,85364.86,DGS,Department of General Services,Fulltime,Maintenance Renovation and Inspection Specialist,10/07/2002
M,34575.5724,DOT,Department of Transportation,Fulltime,Equipment Operator I,10/31/2016
F,47003,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),01/09/2017
M,121646.5311,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Captain,11/16/1992
M,46179.85,DOT,Department of Transportation,Fulltime,Bus Operator,03/21/2011
M,48272.7985,POL,Department of Police,Fulltime,Senior Public Safety Emergency Communications Specialist,10/16/2017
M,89720.1894,DOT,Department of Transportation,Fulltime,Public Service Craftsworker II,08/21/1989
F,73997.5793,DLC,Department of Liquor Control,Fulltime,Liquor Store Assistant Manager,11/24/1999
M,57468.8182,DLC,Department of Liquor Control,Fulltime,Truck Driver/Warehouse Worker,02/28/2000
M,80854.38,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),05/29/2001
M,97114.05,COR,Correction and Rehabilitation,Fulltime,Correctional Supervisor (Sergeant),04/07/1986
F,52712.0055,PRO,Office of Procurement,Fulltime,Procurement Specialist IV,06/29/2015
M,83023.1,DTS,Department of Technology Services,Fulltime,Permitting and Code Enforcement Inspector II,08/30/2010
F,67451.1852,HHS,Department of Health and Human Services,Fulltime,Social Worker II,07/05/2011
F,76085.5242,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,01/09/2017
M,77222.58,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,09/02/2008
M,61664.1,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,06/04/2012
F,46534.4067,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,08/09/2004
M,30084.4614,DLC,Department of Liquor Control,Parttime,Liquor Store Clerk I,01/09/2017
M,42677.8704,DOT,Department of Transportation,Fulltime,Bus Operator,03/30/2015
M,129743.3,CEX,Offices of the County Executive,Fulltime,Manager II,11/16/2015
M,80752,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,08/16/1999
M,71467.11,CEC,Community Engagement Cluster,Fulltime,Urban District Public Service and Maintenance Team Supv,11/22/1993
M,82863.7425,DOT,Department of Transportation,Fulltime,Transit Operations Supervisor,08/02/1993
M,48775.6764,DLC,Department of Liquor Control,Fulltime,Warehouse Worker,10/31/1999
M,136323,DTS,Department of Technology Services,Fulltime,Manager III,05/30/2017
M,118033.2678,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Captain,08/14/1989
F,62946.699,SHF,Sheriff's Office,Fulltime,Principal Administrative Aide,04/30/1990
F,81775.44,HHS,Department of Health and Human Services,Fulltime,Accountant/Auditor III,06/26/2017
F,46955.7,HHS,Department of Health and Human Services,Fulltime,Community Services Aide III,08/21/2017
M,77517.8514,DGS,Department of General Services,Fulltime,Mechanic Technician II,03/29/1999
M,69369.68,DGS,Department of General Services,Fulltime,Mechanic Technician II,07/23/2007
M,130434.5411,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Captain,08/14/1989
M,68347.5606,DPS,Department of Permitting Services,Fulltime,Permitting and Code Enforcement Inspector III,11/24/2008
M,66740,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),06/25/2007
F,19734.7233,POL,Department of Police,Parttime,Crossing Guard,12/19/2011
M,45242.68,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,12/11/2017
F,36878.6838,LIB,Department of Public Libraries,Parttime,Library Associate,01/27/1992
F,76364.1382,HHS,Department of Health and Human Services,Fulltime,Community Services Aide III,09/27/1995
F,129143.11,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Captain,02/26/1990
M,59912.3,POL,Department of Police,Fulltime,Police Officer III,06/01/2015
M,105540.7378,POL,Department of Police,Fulltime,Information Technology Specialist III,05/31/2016
F,43235.0358,DOT,Department of Transportation,Fulltime,Principal Administrative Aide,01/03/2012
M,59922,POL,Department of Police,Fulltime,Police Officer III,02/24/2014
M,108239.04,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Lieutenant,09/04/2001
M,82863.8542,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),03/18/1996
F,67515.14,LIB,Department of Public Libraries,Fulltime,Office Services Coordinator,04/27/1998
F,30963.051,DLC,Department of Liquor Control,Parttime,Liquor Store Clerk I,11/19/2012
M,28211.832,DLC,Department of Liquor Control,Parttime,Liquor Store Clerk I,12/11/2017
M,42483.8568,DOT,Department of Transportation,Fulltime,Bus Operator,09/19/2016
M,142190.6598,POL,Department of Police,Fulltime,Police Captain,08/19/1996
F,54586.62,POL,Department of Police,Fulltime,Police Officer III,07/15/2013
F,69540.5942,HHS,Department of Health and Human Services,Fulltime,Office Services Coordinator,09/12/1988
M,86771.62,DEP,Department of Environmental Protection,Fulltime,Program Manager I,05/20/2013
F,39620.7576,DLC,Department of Liquor Control,Parttime,Liquor Store Clerk I,03/11/1998
F,88240.5117,HHS,Department of Health and Human Services,Fulltime,Environmental Health Specialist III,02/05/2007
F,40818.1466,DOT,Department of Transportation,Fulltime,Bus Operator,05/16/2016
M,67674.04,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,06/04/2012
M,75653,DGS,Department of General Services,Fulltime,HVAC Mechanic I,01/06/2003
M,87873.39,POL,Department of Police,Fulltime,Police Officer III,07/22/2002
M,72910.89,DOT,Department of Transportation,Fulltime,Transit Coordinator,10/26/1998
M,49964.801,DOT,Department of Transportation,Fulltime,Bus Operator,03/02/2008
M,29205.9702,DLC,Department of Liquor Control,Parttime,Liquor Store Clerk I,08/22/2016
F,50354.8452,HHS,Department of Health and Human Services,Fulltime,Community Services Aide III,12/02/2014
F,92787.69,POL,Department of Police,Fulltime,Police Officer III,07/17/2000
F,64482,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),09/02/2008
M,140051.3672,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Battalion Chief,06/13/1988
M,96986.1084,POL,Department of Police,Fulltime,Police Officer III,02/06/1995
M,40781.0994,DOT,Department of Transportation,Fulltime,Equipment Operator I,10/31/2016
M,74827.9,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,05/16/2005
M,48975.399,DOT,Department of Transportation,Fulltime,Bus Operator,03/02/2008
F,95701.704,DEP,Department of Environmental Protection,Fulltime,Administrative Specialist III,08/01/1991
M,95740,COR,Correction and Rehabilitation,Fulltime,Administrative Specialist III,06/11/1995
M,148686.7056,CAT,County Attorney's Office,Fulltime,Assistant County Attorney III,06/25/1990
M,49168.56,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,02/08/2016
M,66359.7,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/17/2008
M,72193.56,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,05/16/2005
M,96120.6345,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,02/10/1986
M,62492,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,01/14/2013
M,63112.5,CAT,County Attorney's Office,Fulltime,Assistant County Attorney III,02/21/2017
F,73472.83,LIB,Department of Public Libraries,Fulltime,Program Manager II,06/15/2015
M,82565.48,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,05/16/2005
F,52157.1798,HHS,Department of Health and Human Services,Fulltime,Social Worker II,02/21/2017
M,63872.38,DGS,Department of General Services,Fulltime,Automotive Parts Technician II,11/01/1993
F,95934.4884,COR,Correction and Rehabilitation,Fulltime,Correctional Specialist II,03/04/1996
F,67166.0504,HHS,Department of Health and Human Services,Fulltime,Social Worker II,06/17/2013
F,65276.2566,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,06/11/2007
M,39468.8507,CEC,Community Engagement Cluster,Fulltime,Urban District Public Service Aide,05/07/2012
M,106104,POL,Department of Police,Fulltime,Police Sergeant,11/08/1999
M,160454,HHS,Department of Health and Human Services,Fulltime,Manager II,06/17/2002
F,101474.1849,HHS,Department of Health and Human Services,Fulltime,Intergovernmental Relations Legislative Analyst,02/22/2016
M,58716.7,CCL,County Council,Fulltime,Principal Administrative Aide,10/23/1985
M,168593.76,OCP,Office of Consumer Protection,Fulltime,Director Office of Consumer Protection,06/30/1980
M,141438.0144,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Battalion Chief,07/01/1985
M,60425.27,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,09/22/2014
F,58716.7,LIB,Department of Public Libraries,Fulltime,Library Assistant I,12/21/1998
F,94591.6712,HHS,Department of Health and Human Services,Fulltime,Therapist II,11/18/2002
M,64470.78,POL,Department of Police,Fulltime,Police Officer III,01/28/2013
M,115192.68,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Captain,09/04/2001
M,106104,POL,Department of Police,Fulltime,Police Sergeant,01/18/1994
F,95062.98,POL,Department of Police,Fulltime,Master Police Officer,07/21/2003
F,34376.24,CCL,County Council,Parttime,Principal Administrative Aide,09/10/1990
M,65548.33,DGS,Department of General Services,Fulltime,Printing Technician III,10/06/2003
M,84466.2,LIB,Department of Public Libraries,Fulltime,Manager III,05/15/2017
F,45242.68,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,10/02/2017
F,71477.378,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,03/08/2017
F,94427.09,CAT,County Attorney's Office,Fulltime,Assistant County Attorney III,07/25/2016
F,50673.72,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,04/28/2015
F,98362.6,HHS,Department of Health and Human Services,Fulltime,Therapist II,09/05/2000
F,43514.9946,DOT,Department of Transportation,Fulltime,Revenue Counter,09/17/2007
M,45855.4443,DLC,Department of Liquor Control,Fulltime,Senior Supply Technician,07/17/2012
M,67515.14,POL,Department of Police,Fulltime,Police Services Assistant,01/14/2002
M,37088.22,POL,Department of Police,Fulltime,Supply Technician III,02/21/2017
M,89729.64,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,02/20/2001
F,72572.8935,HHS,Department of Health and Human Services,Fulltime,Accountant/Auditor I,03/20/2006
F,20141.8074,LIB,Department of Public Libraries,Parttime,Library Desk Assistant,11/03/2013
M,49168.56,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,12/12/2016
M,64651.017,DOT,Department of Transportation,Fulltime,Transit Communications Supervisor,02/14/2005
M,59592.06,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),12/16/2013
M,112013.9928,POL,Department of Police,Fulltime,Police Sergeant,01/18/1994
F,55209.8522,HHS,Department of Health and Human Services,Fulltime,Program Specialist II,02/08/2016
F,58731.3858,HHS,Department of Health and Human Services,Fulltime,Community Services Aide III,09/17/2007
F,72378.9858,FRS,Fire and Rescue Services,Fulltime,Office Services Coordinator,06/16/1986
M,75328.0422,DGS,Department of General Services,Fulltime,Equipment Maintenance Crew Chief,06/30/2014
F,113487.75,SHF,Sheriff's Office,Fulltime,Deputy Sheriff Lieutenant,07/07/1989
F,69078.0006,HHS,Department of Health and Human Services,Fulltime,School Health Room Technician I,12/08/1997
F,107326.89,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Lieutenant,09/11/2000
M,119923.65,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Captain,02/20/2001
M,52500.42,POL,Department of Police,Fulltime,Police Officer Candidate,07/24/2017
F,25862.0398,POL,Department of Police,Parttime,Crossing Guard,10/02/2000
F,114314.4226,DPS,Department of Permitting Services,Fulltime,Community Outreach Manager,08/27/1990
M,136014.2,DOT,Department of Transportation,Fulltime,Manager III,04/11/1988
F,65555.34,DLC,Department of Liquor Control,Fulltime,Liquor Store Manager,01/09/2006
M,87107,DEP,Department of Environmental Protection,Fulltime,Program Specialist II,04/02/2001
F,30530.0174,LIB,Department of Public Libraries,Parttime,Librarian I,02/20/2008
M,66292.07,COR,Correction and Rehabilitation,Fulltime,Correctional Dietary Officer II,03/03/2003
M,65773.22,POL,Department of Police,Fulltime,Police Officer III,01/28/2013
F,65002.7664,POL,Department of Police,Fulltime,Animal Care Attendant Supervisor,12/30/2013
M,68529.45,COR,Correction and Rehabilitation,Fulltime,Resident Supervisor II,08/01/2011
F,42382.63,POL,Department of Police,Fulltime,Office Services Coordinator,07/14/2014
F,66099.15,CCL,County Council,Fulltime,Legislative Services Coordinator,09/15/2008
F,34722.9092,DOT,Department of Transportation,Fulltime,Revenue Counter,05/16/2016
F,21231.3472,POL,Department of Police,Parttime,Crossing Guard,09/05/2006
M,124472.8674,POL,Department of Police,Fulltime,Police Lieutenant,05/23/1989
M,77987.16,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/17/2008
M,59105.97,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,07/29/2013
M,91932.0948,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,02/06/1995
F,24244.759,POL,Department of Police,Parttime,Crossing Guard,06/11/2001
F,61886.46,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),06/17/2001
M,44171.5923,DOT,Department of Transportation,Fulltime,Bus Operator,09/29/2014
M,52227.0396,DOT,Department of Transportation,Fulltime,Bus Operator,01/08/2007
F,59110.2974,REC,Department of Recreation,Fulltime,Recreation Specialist,11/28/2016
M,44072.07,DLC,Department of Liquor Control,Fulltime,Liquor Store Clerk II,08/31/2008
F,24987.5919,POL,Department of Police,Parttime,Crossing Guard,12/10/2001
M,115943.1654,DPS,Department of Permitting Services,Fulltime,Senior Permitting Services Specialist,02/22/1988
M,98062.4655,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,06/15/1992
F,157244.92,LIB,Department of Public Libraries,Fulltime,Manager II,09/29/1986
M,39724.308,DLC,Department of Liquor Control,Fulltime,Supply Technician III,07/28/2014
M,120158.28,DOT,Department of Transportation,Fulltime,Senior Information Technology Specialist,12/13/1999
M,75380.3946,CUS,Community Use of Public Facilities,Fulltime,Program Specialist II,07/04/1999
M,162041.9861,DTS,Department of Technology Services,Fulltime,Manager II,06/10/2002
M,97612.98,POL,Department of Police,Fulltime,Police Sergeant,01/18/2005
F,68103.37,REC,Department of Recreation,Fulltime,Recreation Specialist,07/01/2005
M,111309.66,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Captain,02/20/2001
F,52869.8,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,03/05/2001
M,90950.31,POL,Department of Police,Fulltime,Police Officer III,08/31/1998
F,54959.9766,POL,Department of Police,Fulltime,Client Assistance Specialist,06/15/2015
F,107345.82,HHS,Department of Health and Human Services,Fulltime,Program Manager II,10/11/1977
F,93481.9539,HHS,Department of Health and Human Services,Fulltime,Planning Specialist III,04/08/2013
M,154045.1394,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Assistant Chief,05/07/1984
M,52117.6491,POL,Department of Police,Fulltime,Program Specialist I,08/26/2013
M,60455,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,05/22/2011
M,61059.55,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,01/14/2013
F,45593.6572,HHS,Department of Health and Human Services,Fulltime,Office Services Coordinator,09/08/2014
F,78468,POL,Department of Police,Fulltime,Master Police Officer,07/16/2007
M,140177.9,HHS,Department of Health and Human Services,Fulltime,Manager III,02/23/2004
M,74216.38,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/17/2008
F,65118.5646,DLC,Department of Liquor Control,Fulltime,Liquor Store Assistant Manager,09/07/2004
M,72066,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),02/19/2002
F,19148.7002,POL,Department of Police,Parttime,Crossing Guard,12/03/2012
M,50503.3396,POL,Department of Police,Fulltime,Public Safety Communications Specialist III,02/24/2014
F,75841.7634,DPS,Department of Permitting Services,Fulltime,Permit Technician III,03/07/1988
M,52984.0734,DLC,Department of Liquor Control,Fulltime,Liquor Store Assistant Manager,06/08/2008
F,31279.0005,DLC,Department of Liquor Control,Parttime,Liquor Store Clerk I,11/09/2012
F,39247.77,DGS,Department of General Services,Fulltime,Building Services Worker II,06/11/2007
M,39230.73,HHS,Department of Health and Human Services,Fulltime,Principal Administrative Aide,04/17/2017
M,73647.06,POL,Department of Police,Fulltime,Police Officer III,07/14/2008
